MEETVERANTWOORDELIJKE	NETBEHEERDER	NETGEBIED	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	LANDCODE	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal aansluitingen	%Leveringsrichting	%Fysieke status	%Defintieve aansl (NRM)	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
8716878999989	8716878999996	871687800090000015	OOSTEINDE	2291AA	2291AE	WATERINGEN	NL	ELK	KVB	29	96,55	100	100	83	3x25	7812	89,66	13,79	3,5
8716878999989	8716878999996	871718518003006694	OOSTEINDE	2291AA	2291AE	WATERINGEN	NL	GAS	KVB	28	100	100	100	79	G4	2354	0	14,29	2
8716878999989	8716878999996	871687800090000015	WATERPARK	2291AK	2291AK	WATERINGEN	NL	ELK	KVB	38	92,11	100	100	63	1x35	7901	100	5,26	3,8
8716878999989	8716878999996	871718518003006694	WATERPARK	2291AK	2291AK	WATERINGEN	NL	GAS	KVB	37	100	100	100	100	G4	1905	0	5,41	2
8716878999989	8716878999996	871687800090000015	AZALEAPARK	2291AL	2291AL	WATERINGEN	NL	ELK	KVB	29	100	100	100	86	1x35	3513	100	0	3,8
8716878999989	8716878999996	871718518003006694	AZALEAPARK	2291AL	2291AL	WATERINGEN	NL	GAS	KVB	28	100	100	100	100	G4	790	0	0	2
8716878999989	8716878999996	871687800090000015	UILENLAAN	2291AP	2291AT	WATERINGEN	NL	ELK	KVB	23	100	100	100	96	3x25	5212	95,65	0	3,2
8716878999989	8716878999996	871718518003006694	UILENLAAN	2291AP	2291AT	WATERINGEN	NL	GAS	KVB	22	100	100	100	73	G4	3775	0	0	2
8716878999989	8716878999996	871687800090000015	KWAKLAAN	2291AV	2291AV	WATERINGEN	NL	ELK	KVB	16	100	100	100	88	3x25	2923	100	6,25	3,6
8716878999989	8716878999996	871718518003006694	KWAKLAAN	2291AV	2291AV	WATERINGEN	NL	GAS	KVB	15	100	100	100	93	G4	1545	0	6,67	2
8716878999989	8716878999996	871687800090000015	VLOTLAAN	2291AW	2291AX	WATERINGEN	NL	ELK	KVB	26	100	100	100	81	3x25	2409	73,08	0	3,4
8716878999989	8716878999996	871718518003006694	VLOTLAAN	2291AW	2291AX	WATERINGEN	NL	GAS	KVB	25	100	100	100	100	G4	917	0	0	2
