MEETVERANTWOORDELIJKE	NETBEHEERDER	NETGEBIED	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	WOONPLAATS	LANDCODE	PRODUCTSOORT	VERBRUIKSSEGMENT	aantal aansluitingen	%Leveringsrichting	%Fysieke status	%Defintieve aansl (NRM)	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen
8716902099999	8716878999996	871687800090000000	OOSTEINDE	2291AA	2291AE	WATERINGEN	NL	ELK	KVB	28	67,86	100	100	50	3x25	5931	60,71	75	5
8716878999989	8716878999996	871718518003006000	OOSTEINDE	2291AA	2291AE	WATERINGEN	NL	GAS	KVB	27	100	100	100	89	G4	1920	0	74,07	2
8716878999989	8716878999996	871687800090000000	WATERPARK	2291AK	2291AK	WATERINGEN	NL	ELK	KVB	40	52,5	100	100	60	1x35	4454	57,5	90	5,2
8716878999989	8716878999996	871718518003006000	WATERPARK	2291AK	2291AK	WATERINGEN	NL	GAS	KVB	39	100	100	100	97	G4	1742	0	89,74	2
8716878999989	8716878999996	871687800090000000	AZALEAPARK	2291AL	2291AL	WATERINGEN	NL	ELK	KVB	29	100	100	100	86	1x35	2573	68,97	96,55	4,4
8716878999989	8716878999996	871718518003006000	AZALEAPARK	2291AL	2291AL	WATERINGEN	NL	GAS	KVB	28	100	100	100	93	G4	740	0	96,43	2
8716878999989	8716878999996	871687800090000000	DRUIVENLAAN	2291AN	2291AT	WATERINGEN	NL	ELK	KVB	54	46,3	100	100	85	3x25	3978	74,07	98,15	5,1
8716878999989	8716878999996	871718518003006000	DRUIVENLAAN	2291AN	2291AT	WATERINGEN	NL	GAS	KVB	41	100	100	100	98	G4	1842	0	92,68	2
8716878999989	8716878999996	871687800090000000	KWAKLAAN	2291AV	2291AV	WATERINGEN	NL	ELK	KVB	18	94,44	100	100	83	1x35	4019	72,22	94,44	5
8716878999989	8716878999996	871718518003006000	KWAKLAAN	2291AV	2291AV	WATERINGEN	NL	GAS	KVB	17	100	100	100	94	G4	1683	0	88,24	2
8716878999989	8716878999996	871687800090000000	VLOTLAAN	2291AW	2291AX	WATERINGEN	NL	ELK	KVB	27	81,48	100	100	96	1x35	2188	81,48	88,89	5,1
8716878999989	8716878999996	871718518003006000	VLOTLAAN	2291AW	2291AX	WATERINGEN	NL	GAS	KVB	26	100	100	100	100	G4	924	0	80,77	2
8716878999989	8716878999996	871687800090000000	VLIETLAAN	2291AZ	2291AZ	WATERINGEN	NL	ELK	KVB	24	79,17	100	100	88	1x35	3067	50	79,17	4,9
8716878999989	8716878999996	871718518003006000	VLIETLAAN	2291AZ	2291AZ	WATERINGEN	NL	GAS	KVB	23	100	100	100	96	G4	780	0	78,26	2
8716878999989	8716878999996	871687800090000000	HERENSTRAAT	2291BB	2291BB	WATERINGEN	NL	ELK	KVB	28	96,43	100	100	54	1x35	8024	92,86	67,86	4,6
8716878999989	8716878999996	871718518003006000	HERENSTRAAT	2291BB	2291BB	WATERINGEN	NL	GAS	KVB	25	100	100	100	60	G4	1365	0	52	2
8716878999989	8716878999996	871687800090000000	HERENSTRAAT	2291BC	2291BC	WATERINGEN	NL	ELK	KVB	12	91,67	100	100	50	1x35	10023	50	91,67	5,2
8716878999989	8716878999996	871718518003006000	HERENSTRAAT	2291BC	2291BC	WATERINGEN	NL	GAS	KVB	12	100	100	100	83	G4	2909	0	58,33	2
8716878999989	8716878999996	871687800090000000	HERENSTRAAT	2291BD	2291BG	WATERINGEN	NL	ELK	KVB	15	80	100	100	27	1x35	13351	66,67	80	4,9
8716878999989	8716878999996	871718518003006000	HERENSTRAAT	2291BE	2291BG	WATERINGEN	NL	GAS	KVB	15	100	100	100	67	G4	2023	0	60	2
8716878999989	8716878999996	871687800090000000	HERENSTRAAT	2291BH	2291BH	WATERINGEN	NL	ELK	KVB	19	94,74	100	100	53	1x35	10001	68,42	73,68	4,9
8716878999989	8716878999996	871718518003006000	HERENSTRAAT	2291BH	2291BH	WATERINGEN	NL	GAS	KVB	19	100	100	100	74	G4	2346	0	52,63	2
8716878999989	8716878999996	871687800090000000	HERENSTRAAT	2291BJ	2291BK	WATERINGEN	NL	ELK	KVB	27	88,89	100	100	48	3x25	7447	37,04	70,37	4,7
8716878999989	8716878999996	871718518003006000	HERENSTRAAT	2291BJ	2291BK	WATERINGEN	NL	GAS	KVB	25	100	100	100	80	G4	2204	0	64	2
8716878999989	8716878999996	871687800090000000	HERENSTRAAT	2291BL	2291BR	WATERINGEN	NL	ELK	KVB	43	90,7	100	100	72	1x35	2691	76,74	90,7	5,2
8716878999989	8716878999996	871718518003006000	HERENSTRAAT	2291BL	2291BR	WATERINGEN	NL	GAS	KVB	39	100	100	100	85	G4	1757	0	82,05	2
8716878999989	8716878999996	871687800090000000	ARKPAVILJOEN	2291BS	2291BS	WATERINGEN	NL	ELK	KVB	18	100	100	100	100	1x35	1577	77,78	83,33	5,5
8716878999989	8716878999996	871718518003006000	ARKPAVILJOEN	2291BS	2291BS	WATERINGEN	NL	GAS	KVB	18	100	100	100	100	G4	868	0	83,33	2
8716878999989	8716878999996	871687800090000000	ARKPAVILJOEN	2291BT	2291BT	WATERINGEN	NL	ELK	KVB	17	100	100	100	100	1x35	1375	88,24	82,35	5,4
8716878999989	8716878999996	871718518003006000	ARKPAVILJOEN	2291BT	2291BT	WATERINGEN	NL	GAS	KVB	17	100	100	100	100	G4	881	0	82,35	2
8716878999989	8716878999996	871687800090000000	ARKPAVILJOEN	2291BV	2291BV	WATERINGEN	NL	ELK	KVB	20	100	100	100	100	1x35	1513	75	85	5,5
8716878999989	8716878999996	871718518003006000	ARKPAVILJOEN	2291BV	2291BV	WATERINGEN	NL	GAS	KVB	20	100	100	100	100	G4	816	0	85	2
8716902099999	8716878999996	871687800090000000	HEULWEG	2291BW	2291BW	WATERINGEN	NL	ELK	KVB	13	92,31	100	100	38	1x35	6771	84,62	53,85	4,2
